employee_id,attendance,hours_worked,department,score
1001,97.0,35.0,Sales,92.3
1002,66.4,33.1,Engineering,57.0
1003,79.4,37.5,Engineering,56.0
1004,87.6,34.4,Engineering,72.7
1005,77.6,34.8,Sales,58.8
1006,88.6,41.4,Support,64.1
1007,72.2,47.5,Support,64.6
1008,66.2,23.9,Support,47.0
1009,96.2,36.4,Support,72.8
1010,90.9,39.6,Engineering,65.0
1011,69.1,38.0,Marketing,51.7
1012,80.3,36.3,Engineering,55.2
1013,94.4,31.2,Marketing,80.7
1014,69.9,33.3,Engineering,62.9
1015,80.0,41.6,Support,56.2
1016,71.0,43.4,Sales,39.5
1017,82.1,38.5,Sales,90.5
1018,84.2,33.8,Marketing,63.2
1019,77.4,38.5,Engineering,64.5
1020,60.7,36.8,Sales,43.9
1021,92.4,40.7,Support,93.6
1022,82.5,38.6,Marketing,68.6
1023,75.7,34.9,Support,53.7
1024,100.0,39.0,Marketing,88.5
1025,74.8,32.1,Marketing,67.9
1026,64.8,42.1,Engineering,42.9
1027,80.8,43.9,Sales,49.1
1028,59.9,32.1,Sales,37.7
1029,83.9,40.1,Sales,85.4
1030,79.2,33.0,Support,57.3
1031,70.2,43.4,Marketing,52.3
1032,92.7,42.5,Sales,82.5
1033,65.0,36.8,Marketing,36.1
1034,91.5,43.0,Support,64.9
1035,59.9,35.8,Support,36.0
1036,64.1,34.8,Sales,46.4
1037,61.1,35.2,Sales,49.3
1038,98.3,37.3,Support,78.3
1039,96.4,36.4,Support,90.9
1040,82.4,38.8,Engineering,59.2
1041,89.8,34.9,Engineering,88.3
1042,74.5,41.8,Sales,55.9
1043,91.1,43.1,Marketing,65.0
1044,68.4,35.5,Marketing,49.8
1045,52.7,30.9,Marketing,32.6
1046,72.3,41.6,Marketing,34.4
1047,74.3,43.7,Engineering,73.3
1048,100.0,37.2,Marketing,100.0
1049,87.4,31.6,Sales,79.0
1050,75.5,39.3,Support,52.7
1051,90.7,45.6,Sales,100.0
1052,87.4,28.6,Engineering,80.5
1053,73.8,40.4,Marketing,65.3
1054,75.8,36.4,Engineering,55.0
1055,76.9,33.7,Marketing,62.5
1056,80.8,40.5,Engineering,60.8
1057,67.2,31.5,Sales,29.7
